,City Name,City ID,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
249,Sao Gabriel da Cachoeira,8694,-3.75,-73.25,297.15,94,75,1.5,PE,1570163617
250,Sao Gabriel da Cachoeira,4732,42.03,-121.6,279.26,60,20,2.37,US,1570163619
251,Sao Gabriel da Cachoeira,4431,25.09,-80.45,300.37,78,1,3.1,US,1570163620
252,Sao Gabriel da Cachoeira,7318,-17.73,-149.15,300.15,69,40,3.1,PF,1570163622
253,Sao Gabriel da Cachoeira,2009394,43.74,-81.71,287.04,90,62,10.94,CA,1570163624
254,Sao Gabriel da Cachoeira,8610,4.87,-75.17,293.15,94,40,1.0,CO,1570163626
255,Sao Gabriel da Cachoeira,9042,55.97,48.02,284.15,93,75,5.0,RU,1570163628
256,Sao Gabriel da Cachoeira,4652,38.09,-102.62,285.15,58,1,4.6,US,1570163388
257,Sao Gabriel da Cachoeira,2021216,37.93,102.64,288.71,56,67,4.53,CN,1570163631
258,Sao Gabriel da Cachoeira,7523,31.72,35.79,289.26,87,0,2.56,JO,1570163632
259,Sao Gabriel da Cachoeira,8951,69.49,88.39,278.15,93,75,9.0,RU,1570163633
260,Sao Gabriel da Cachoeira,9013,39.12,66.88,288.15,54,75,3.1,UZ,1570163635
261,Sao Gabriel da Cachoeira,8712,-34.91,-54.96,286.15,82,75,4.6,UY,1570163426
262,Sao Gabriel da Cachoeira,8391,-6.97,-34.84,297.15,88,75,3.1,BR,1570163638
263,Sao Gabriel da Cachoeira,7348,-43.53,172.64,288.71,51,33,7.2,NZ,1570163400
264,Sao Gabriel da Cachoeira,7156,20.71,-105.21,298.71,100,90,4.73,MX,1570163643
265,Sao Gabriel da Cachoeira,8511,-33.58,-71.61,277.15,93,0,9.42,CL,1570163644
266,Sao Gabriel da Cachoeira,6894,32.65,-17.07,295.15,73,20,4.6,PT,1570163646
267,Sao Gabriel da Cachoeira,1646,69.47,25.52,271.15,100,20,3.6,NO,1570163647
268,Sao Gabriel da Cachoeira,8976,53.14,59.15,285.15,62,20,2.0,RU,1570163648
269,Sao Gabriel da Cachoeira,6381,34.69,32.96,293.71,68,20,2.1,CY,1570163650
270,Sao Gabriel da Cachoeira,1467,52.47,1.45,286.15,100,100,4.1,GB,1570163653
271,Sao Gabriel da Cachoeira,5454,43.66,-70.25,282.59,81,90,1.5,US,1570163439
272,Sao Gabriel da Cachoeira,1515,54.08,-0.19,283.71,100,99,1.0,GB,1570163656
273,Sao Gabriel da Cachoeira,2018822,-29.36,-50.81,292.04,96,100,0.89,BR,1570163657
274,Sao Gabriel da Cachoeira,895,51.56,-101.9,275.15,93,20,2.6,CA,1570163659
275,Sao Gabriel da Cachoeira,9566,-34.85,139.16,305.15,21,0,6.7,AU,1570163661
276,Sao Gabriel da Cachoeira,1770,63.83,20.26,274.15,86,90,5.1,SE,1570163663
